,org,weight_in,weight_out,in_degree,out_degree,betweenness,edge_count,density
0,AASCU,9,12,9,12,0.6666666666666666,129,0.826923076923077
1,ATD,12,11,12,11,12.402380952380952,129,0.826923076923077
2,AIHEC,11,6,11,6,1.5833333333333333,129,0.826923076923077
3,APLU,10,12,10,12,8.249999999999998,129,0.826923076923077
4,CCA,10,10,10,10,10.083333333333332,129,0.826923076923077
5,E3,11,6,11,6,0.0,129,0.826923076923077
6,EXA,9,8,9,8,4.092857142857143,129,0.826923076923077
7,GI,11,11,11,11,0.8333333333333333,129,0.826923076923077
8,GIA,9,12,9,12,7.326190476190476,129,0.826923076923077
9,JFF,8,6,8,6,0.16666666666666666,129,0.826923076923077
10,MDRC,10,12,10,12,14.445238095238096,129,0.826923076923077
11,NWCCU,9,11,9,11,1.9999999999999998,129,0.826923076923077
12,UNCF,10,12,10,12,18.378571428571426,129,0.826923076923077
